# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
sum                  ra      63     0.270  0.476     0.254      9.0  0.159  0.159       63    1.215     1.186

[x-bow] n=40  threat present 26/40  top threats: [('knight', 17), ('-', 14), ('ice_wizard', 9)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc      40     0.075  0.800     0.125      1.0  0.650  0.650       15    0.045     0.068
p1_pull_band         ra      40     0.075  0.800     0.125      1.0  0.675  0.650       15    0.056     0.082
p1_close_penalty     pc      40     0.025  0.975     0.000      1.0  1.000  1.000        1    0.000    -0.018
p1_close_penalty     ra      40     0.025  0.975     0.000      1.0  1.000  1.000        1    0.000    -0.018
p2_cover             pc      40     0.100  0.900     0.000     11.0  0.075  0.075       40    0.545     0.500
p2_cover             ra      40     0.100  0.900     0.000     11.0  0.075  0.075       40    0.545     0.500
p3_intercept         pc      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc      40     0.000  1.000     0.000      1.0  1.000  1.000        7    0.153     0.153
p5_timing            ra      40     0.000  1.000     0.000      1.0  1.000  1.000        8    0.155     0.155
p6_siege             pc      40     0.300  0.200     0.500      5.0  0.225  0.200       34    0.704     0.545
p6_siege             ra      40     0.025  0.125     0.850      9.0  0.100  0.100       40    0.893     0.950
p7_fragility         pc      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra      40     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc      40     0.425  0.100     0.475      8.5  0.075  0.050       40    1.448     1.248
sum                  ra      40     0.175  0.075     0.750      9.0  0.025  0.000       40    1.650     1.670

[skeletons] n=341  threat present 249/341  top threats: [('knight', 183), ('-', 92), ('ice_wizard', 66)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     341     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
