[86/211] 022YYYUCR9VJ {'tag': '022YYYUCR9VJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 45, 'rejected': 1, 'delays': 1, 't': 180.1, 'secs': 0.23}
[87/211] 022YYYUCVPR9 {'tag': '022YYYUCVPR9', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 60, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.12}
[88/211] 022YYYUU9LPG {'tag': '022YYYUU9LPG', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 95, 'rejected': 1, 'delays': 1, 't': 260.1, 'secs': 0.18}
[89/211] 022YYYUUQGGJ {'tag': '022YYYUUQGGJ', 'error': None, 'crowns': [2, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 43, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.22}
[90/211] 022YYYUVGPUU {'tag': '022YYYUVGPUU', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 46, 'rejected': 0, 'delays': 0, 't': 157.9, 'secs': 0.17}
[91/211] 022YYYVURLCJ {'tag': '022YYYVURLCJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 44, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.16}
[92/211] 02GY9GJCR9P0 {'tag': '02GY9GJCR9P0', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 47, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.21}
[93/211] 02GY9GJGYJUV {'tag': '02GY9GJGYJUV', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 51, 'rejected': 1, 'delays': 0, 't': 180.1, 'secs': 0.23}
[94/211] 02GY9GJJLR9Q {'tag': '02GY9GJJLR9Q', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.14}
[95/211] 02GY9GJQU0UR {'tag': '02GY9GJQU0UR', 'error': None, 'crowns': [0, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.18}
